investorName,entityName,roundSizeUsd,round,totalInvested
GF Investments,Pagaya Investments,102000000,Series D,141000000
CCB International,MEGVII,100000000,Series C,4600000000
Foxteq Holdings,MEGVII,100000000,Series C,100000000
Qiming Venture Partners,MEGVII,100000000,Series C,122000000
Sinovation Ventures,MEGVII,100000000,Series C,122000000
Foxconn Technology Group,MEGVII,100000000,Series C,650987842
HSBC Bank Singapore,Atome,100000000,Debt Financing,400000000
HSBC Bank Singapore,Atome,100000000,Debt Financing,400000000
StepStone Group,Immuta,100000000,Series E,160000000
Alven,Stripe,100000000,Series C,804673743
Alven,Stripe,100000000,Series C,804673743
Alven,Stripe,100000000,Series C,804673743
PSG,Bitwarden,100000000,Series B,100000000
Hanaco Venture Capital,Amount,99000000,Series D,453000000
50 South Capital,Amount,99000000,Series D,189000000
Invus,Amount,99000000,Series D,980000000
Contrary,Stytch,90000000,Series B,236000000
Contrary,Stytch,90000000,Series B,236000000
Hanaco Venture Capital,Amount,86000000,Series C,453000000
Invus,Amount,86000000,Series C,980000000
01 Advisors,Tipalti,76000000,Series D,516794686
Foxconn Technology Group,AISpeech,75987842,Series D,650987842
MediaTek,AISpeech,75987842,Series D,75987842
Updata Partners,FusionAuth,65000000,Venture - Series Unknown,97500000
Sherpa,Trusting Social Co.,65000000,Series C,65000000
Wellington Capital Management,The Trade Desk,60000000,Venture - Series Unknown,60000000
Mercato Partners,Domo,60000000,Series B,194000000
GoldStone Investment,AISpeech,58189869,Series E,58189869
CTC Capital,AISpeech,58189869,Series E,58189869
Sean Bill,Amount,58000000,Series B,60800000
Dragon Capital,PerimeterX,57000000,Series D,425700000
Contrary,Secureframe,56000000,Series B,236000000
Impatient Ventures,Secureframe,56000000,Series B,62500000
Flexport,Secureframe,56000000,Series B,56000000
Optum Ventures,Secureframe,56000000,Series B,56000000
Kaiser Permanente,Secureframe,56000000,Series B,56000000
Ash Devata,Secureframe,56000000,Series B,144000000
Jonathan Oberheide,Secureframe,56000000,Series B,56000000
Finch Capital,Fourthline,54312110,Series B,80175492
Oxford Capital Partners,Red Sift,54000000,Series B,69836215
MMC Ventures,Red Sift,54000000,Series B,84949556
Section 32,Gretel,52199996,Series B,110199996
UiPath Ventures,airSlate,51500000,Series C,51500000
The General Partnership,Sardine,51500000,Series B,81500000
HV Capital,Yapily,51000000,Series B,136853554
Moxxie Ventures,Certn,50000000,Series B,105236690
Scribble Ventures,Certn,50000000,Series B,100794686
Zoom,Theta Lake,50000000,Series B,50000000
RingCentral Ventures,Theta Lake,50000000,Series B,50000000
Curql,Zest AI,50000000,Venture - Series Unknown,153100000
Covalent Ventures,Certn,50000000,Series B,80000000
Hedosophia,VIDA,47670000,Series A,581498122
Future Shape,VIDA,47670000,Series A,47670000
DST Global,VIDA,47670000,Series A,2216498117
Peterson Ventures,WithClutch,41000000,Series A,86500000
Peterson Ventures,Clutch,41000000,Series A,86500000
Kaszek,Pomelo,40000000,Series B,78300000
Hanaco Venture Capital,Amount,40000000,Private Equity,453000000
Victory Park Capital,Tala,40000000,Debt Financing,579729439
Section 32,Pomelo,40000000,Series B,110199996
Brighton Park Capital,DataVisor,40000000,Venture - Series Unknown,358108584
Brighton Park Capital,DataVisor,40000000,Venture - Series Unknown,358108584
Overture VC,Xage Security,39000000,Series B,65000000
Joey Low,EverC,35882200,Series B,39382200
Maor Investments,EverC,35882200,Series B,166882200
Electric Capital,Spruce,34000000,Series A,71400000
Transmedia Capital,Domo,33000000,Series A,33000000
LendingTree,EarnUp,31000000,Series C,31000000
Keybank,EarnUp,31000000,Series C,161000000
Moxxie Ventures,Certn,30000000,Series B,105236690
Scribble Ventures,Certn,30000000,Series B,100794686
Hanaco Venture Capital,Amount,30000000,Private Equity,453000000
Hanaco Venture Capital,Amount,30000000,Private Equity,453000000
Equable Capital,OCR Labs,30000000,Series B,60000000
Kirenaga Partners,Clearview,30000000,Series B,30000000
Hal Lambert,Clearview,30000000,Series B,30000000
Hashed,Humanity Protocol,30000000,Seed,57280000
Curql,Amount,30000000,Private Equity,153100000
Curql,Amount,30000000,Private Equity,153100000
Ben Braverman,DataGrail,30000000,Series B,30000000
Joshua Browder,DataGrail,30000000,Series B,30000000
Decent Capital,DataGrail,30000000,Series B,30000000
Daniel Yanisse,Truework,30000000,Series B,30000000
Brighton Park Capital,AppViewX,30000000,Series A,358108584
Communitas Asset Management,ComplyAdvantage,30000000,Series B,30000000
Next Play Ventures,Truework,30000000,Series B,72850000
Covalent Ventures,Certn,30000000,Series B,80000000
Vipul Ved Prakash,Truework,30000000,Series B,30000000
KG Investments,Proofpoint,28000000,Series F,28000000
Base10 Partners,Okendo,26000000,Series A,98500000
Innovating Capital,Strata Identity,26000000,Series B,283300000
InvestMichigan,Blis,25000000,Series B,25000000
Marubeni,D-ID,25000000,Series B,25000000
Our Innovation Fund,D-ID,25000000,Series B,25538410
Calibrate Ventures,Diveplane,25000000,Series A,25000000
Macquarie Capital,D-ID,25000000,Series B,25000000
Harvey Golub,Pagaya Investments,25000000,Series C,141000000
Clal Insurance Enterprises Holdings,Pagaya Investments,25000000,Series C,141000000
Ibex Investors,Zimperium,25000000,Series C,83000000
GF Investments,Pagaya Investments,25000000,Series C,141000000
LDV Partners,Alcatraz AI,25000000,Series A,78200000
Sigma Defense Systems,Diveplane,25000000,Series A,25000000
MA Growth Capital,Demyst,24676550,Funding Round,24676550
Curql,Zest AI,23000000,Funding Round,153100000
Qiming Venture Partners,MEGVII,22000000,Series B,122000000
Sinovation Ventures,MEGVII,22000000,Series B,122000000
Moxxie Ventures,Certn,20794686,Series A,105236690
Weekend Fund,Certn,20794686,Series A,25236690
01 Advisors,Certn,20794686,Series A,516794686
Nitesh Banta,Certn,20794686,Series A,24794686
Scribble Ventures,Certn,20794686,Series A,100794686
Bart Swanson,Certn,20794686,Series A,20794686
Yousif Al-Dujaili,Certn,20794686,Series A,25236690
Grafton Capital,Omilia,20000000,Private Equity,20000000
Hummer Winblad Venture Partners,Domo,20000000,Series A,155000000
Updata Partners,Shufti Pro,20000000,Series A,97500000
Kensington Capital Partners Limited,Zest AI,20000000,Series C,20000000
Eastward Capital Partners,Zest AI,20000000,Series C,32000000
Brighton Park Capital,AppViewX,20000000,Series B,358108584
Overture VC,Xage Security,20000000,Series B,65000000
Luno Expeditions,Sardine,19500000,Series A,19500000
Covenant Venture Capital,NextRoll,19000000,Secondary Market,23600000
Hanaco Venture Capital,Guardz,18000000,Series A,453000000
Base10 Partners,Secureframe,18000000,Series A,98500000
Banana Capital,Secureframe,18000000,Series A,18000000
Backend Capital,Secureframe,18000000,Series A,22500000
Lorimer Ventures,Secureframe,18000000,Series A,22600000
Section 32,Pomelo,18000000,Series A,110199996
First National Bank Of Omaha,Zest AI,18000000,Venture - Series Unknown,18000000
VyStar Credit Union,Zest AI,18000000,Venture - Series Unknown,18000000
Elon Musk,Stripe,18000000,Series A,280000000
Elon Musk,Stripe,18000000,Series A,280000000
Elon Musk,Stripe,18000000,Series A,280000000
Finch Capital,Fourthline,17324781,Series A,80175492
Rudolf Booker,Fourthline,17324781,Series A,17324781
Next Play Ventures,Evervault,16200000,Series A,72850000
Volution,Passfort,16155267,Series A,16155267
Russian Direct Investment Fund,NTechLab,15000000,Venture - Series Unknown,15000000
Atlantic Labs,Decentriq,15000000,Series A,18785280
Eclipse Ventures,Decentriq,15000000,Series A,15000000
btov Partners,Decentriq,15000000,Series A,18785280
